WshedID,BASINID,DiversionID,AreaM2,CellCount,RainMeanMM,RainSumMM,BFQ95,AB_Sum,AS_Sum,ES_Sum,LC_Sum,MG_Sum,NG_Sum,SH_Sum,SS_Sum,AB_E,AS_E,ES_E,LC_E,MG_E,NG_E,SH_E,SS_E,Wshed_Name,Lease_ID,IIFS,Private_ID,Taro_ID,dVolume
10,39,11,2388300,23883,4587,109540000,6.15,1243,623,58,947,121,325,31,483,1243,623,58,947,121,325,31,483,Wailua Nui,Keanae,Yes,,Yes,0
10,40,3,86300,863,5816,5018970,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wailua Nui,Keanae,Yes,,Yes,0
10,41,3,94500,945,5937,5610800,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wailua Nui,Keanae,Yes,,Yes,0
10,42,3,23200,232,5878,1363640,0.005,5,0,0,2,0,0,0,0,0.015876,0,0,0.0063504,0,0,0,0,Wailua Nui,Keanae,Yes,,Yes,0
10,43,3,1353500,13535,6576,89005900,1.437,1887,15,0,543,0,6,0,1,158.508,1.26,0,45.612,0,0.504,0,0.084,Wailua Nui,Keanae,Yes,,Yes,0
10,44,3,9479800,94798,2683,254320000,0.721,2652,17,0,558,0,8,0,4,222.768,1.428,0,46.872,0,0.672,0,0.336,Wailua Nui,Keanae,Yes,,Yes,0
11,45,11,1695800,16958,4593,77894400,4.233,1005,702,1,1447,113,928,0,571,1005,702,1,1447,113,928,0,571,Waiokamilo,Keanae,Yes,,Yes,0
11,46,13,606600,6066,5550,33665400,0.945,677,190,0,857,0,247,0,108,1354,380,0,1714,0,494,0,216,Waiokamilo,Keanae,Yes,,Yes,0
11,47,3,24600,246,5696,1401210,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Waiokamilo,Keanae,Yes,,Yes,0
11,48,3,73900,739,5863,4333070,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Waiokamilo,Keanae,Yes,,Yes,0
11,49,3,40900,409,5900,2413150,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Waiokamilo,Keanae,Yes,,Yes,0
