ID,TypeID,POINT_X,POINT_Y,EVENT_NAME,NodeName,DiversionID,NodeType,WaterDivert,WaterLeft,UpEntrain,UpBarrier,UpOther,UpHab,DnEntrain,DnBarrier,DnHab,DnOther
61,4,791214.4527,2309418.163,Intake W-5 from Punaluu Stream,W-5,9,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
62,4,790692.2313,2310105.594,Intake W-9 from Oopuola Stream,W-9,9,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
63,4,785844.5147,2311948.729,Intake W-22 from Honopou Stream,W-22,9,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
64,4,785241.9602,2311995.204,Intake W-23 from Piiloi Stream,W-23,9,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
65,4,780585.6956,2312452.618,Intake KH-7 from West Kuiaha Stream,KH-7,4,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
66,4,788402.2182,2313347.426,Intake L-7 from Hanehoi Stream,L-7,5,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
67,4,791666.6299,2309458.387,Intake W-3 from East Kolea Stream,W-3,9,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
68,4,791433.3034,2309647.533,Intake W-4 from West Kolea Stream,W-4,9,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
69,4,790142.2826,2312584.964,Kailua Reservoir from Kailua Stream,Kailua Res,10,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
70,4,784733.9801,2311498.243,Intake W-24 from Halehaku Stream,W-24,9,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
71,4,791962.1909,2309207.591,Intake W-1 from Alo Stream,W-1,9,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
72,4,792596.5143,2307888.64,Intake S-8 from Haipuaena Stream,S-8,8,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
73,4,792703.4954,2308382.485,Intake S-9 from Puohokamoa Stream,S-9,8,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
74,4,792025.8505,2309453.952,Intake S-10 from Waikamoi Stream,S-10,8,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
75,4,790561.6686,2311761.228,Papaaea Reservoir from Nailiilihaele Stream,Papaaea Res,10,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
76,4,779256.7398,2316099.995,Intake H-17 from Pauwela Gulch,H-17,2,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
77,4,789934.8951,2310455.531,Intake W-13 from Nailiilihaele Stream,W-13,9,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
78,4,789716.4555,2310413.326,Intake W-14 from Nailiilihaele Stream,W-14,9,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
79,4,783483.5788,2315858.426,Intake H-12 from Uaoa Stream,H-12,2,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
80,4,783361.925,2315429.577,Peahi Reservoir from Uaoa Stream,Peahi Res,10,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
81,4,790796.332,2310005.14,Intake W-8 from Oopuola Stream,W-8,9,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
82,4,784425.5924,2316058.965,Intake H-11 from Kealii Stream,H-11,2,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
83,4,791023.8281,2309757.458,Intake W-7 from Makanali Stream,W-7,9,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
84,4,780103.6206,2316087.719,Intake H-16 from East Kuiaha Stream,H-16,2,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
85,4,778943.475,2316298.917,Intake H-18 Lilikoi Gulch,H-18,2,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
86,4,789623.3632,2312900.302,Intake L-3 from Hanauana Stream,L-3,5,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
87,4,784342.4935,2314825.216,Intake H-10 from Halahaku Stream,H-10,2,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
88,4,790324.0866,2310377.691,Intake W-11 from Nailiilihaele Stream,W-11,9,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
89,4,789026.2891,2310809.51,Intake W-16 from Ohanui Stream,W-16,9,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
90,4,785326.4963,2315675.509,Intake H-9 from Kapalaalaea Stream,H-9,2,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
91,4,785164.089,2314754.561,Kapalaalaea Reservoir from Piiloi Stream,Kapalaalaea Res,10,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
92,4,789125.3559,2310736.493,Intake W-15 from Kailua Stream,W-15,9,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
93,4,788544.5434,2311206.135,Intake W-17 from Hoalua Stream,W-17,9,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
94,4,790262.9364,2312086.158,Intake L-1 from Nailiilihaele Stream,L-1,5,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
95,4,789941.7348,2312373.634,Intake L-2 from Kailua Stream,L-2,5,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
96,4,786414.812,2315160.271,Intake H-8 from Honopou Stream,H-8,2,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
97,4,790134.117,2310447.923,Intake W-12 from Nailiilihaele Stream,W-12,9,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
98,4,788031.6938,2311746.743,Intake W-18 from Hanehoi Stream,W-18,9,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
99,4,778522.0703,2315138.971,Pauwela Reservoir from Lilikoi Gulch,Pauwela Res,10,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
100,4,793413.5314,2309317.815,Intake ML-3 from Puohokamoa Stream,ML-3,6,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
101,4,791826.1433,2311224.043,Intake C-5 from Kaaiea Stream,C-5,1,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
102,4,791154.6217,2311492.894,Intake C-8 from West Oopuola Stream,C-8,1,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
103,4,791284.6324,2311109.423,Intake C-7 from Oopuola Stream,C-7,1,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
104,4,782484.1044,2316576.601,Intake H-14 from West Manawai Stream,H-14,2,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
105,4,784526.3651,2314177.959,Intake L-21 from Waihee Stream,L-21,5,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
106,4,791726.4362,2311298.763,Intake C-6 from Makanali Stream,C-6,1,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
107,4,790905.9643,2311608.492,Intake C-9 from Puehu Stream,C-9,1,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
108,4,787272.4865,2311980.245,Intake NH-18 from Waipio Stream,NH-18,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
109,4,793202.4605,2309465.144,Intake ML-4 from West Puohokamoa Stream,ML-4,6,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
110,4,792363.5195,2310596.993,Intake C-3 from Kolea Stream,C-3,1,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
111,4,793374.2252,2307929.203,Intake K-32 at Kolea Stream,K-32,3,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
112,4,792634.1937,2310007.829,Intake ML-5 from Waihanepee Stream,ML-5,6,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
113,4,793623.8552,2308609.681,Intake ML-1 from Punaluu Stream,ML-1,6,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
114,4,791987.8564,2309267.5,Intake NH-1 from Alo Stream,NH-1,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
115,4,791494.202,2309678.855,Intake NH-3 from West Kolea Stream,NH-3,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
116,4,791683.0942,2309490.331,Intake NH-2 from East Kolea Stream,NH-2,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
117,4,786024.0153,2314570.113,Intake L-17 from Honopou Stream,L-17,5,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
118,4,785784.7492,2315076.607,Intake L-18 from East Kapalaalea Stream,L-18,5,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
119,4,793545.666,2309133.861,Intake ML-2 from Haipuaena Stream,ML-2,6,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
120,4,787762.8925,2314665.504,Intake H-6 from Mokupapa Stream,H-6,2,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
121,4,786992.1702,2314992.238,Intake H-7 from Hoolawa Stream,H-7,2,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
122,4,788186.0569,2314302.195,Intake H-5 from Waipio Stream,H-5,2,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
123,4,788774.624,2313745.776,Intake H-3 from East Hanehoi Stream,H-3,2,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
124,4,784813.1528,2314668.127,Intake L-20 from East Halehaku Stream,L-20,5,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
125,4,785201.4508,2314584.18,Intake L-19 from Kapalaalea Stream,L-19,5,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
126,4,784165.566,2314170.616,Intake L-22 from Opana Stream,L-22,5,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
127,4,783624.2922,2315208.567,Intake L-23 from Uaoa Stream,L-23,5,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
128,4,792142.8913,2311175.552,Intake C-4 from Punaluu Stream,C-4,1,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
129,4,779013.9954,2314558.705,Intake L-27 from Lilikoi Stream,L-27,5,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
130,4,792355.9435,2310588.02,Intake C-2 from Kolea Stream,C-2,1,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
131,4,788603.7613,2313938.581,Intake H-4 from Huelo Stream,H-4,2,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
132,4,792444.2639,2310353.224,Intake C-1 from Waikamoi Stream,C-1,1,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
133,4,782814.3253,2316618.738,Intake H-13 from East Manawai Stream,H-13,2,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
134,4,789436.779,2313550.17,Intake H-2 from Hoalua Stream,H-2,2,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
135,4,792406.1635,2310467.392,Kolea Reservoir from Kolea Stream,Kolea Res,10,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
136,4,791554.2813,2310458.914,Intake S-11 from Kaaiea Stream,S-11,8,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
137,4,779771.7052,2314509.471,Intake L-26 from West Kuiaha Stream,L-26,5,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
138,4,786615.1649,2311889.589,Intake NH-19 from Hoolawa-Nui Stream,NH-19,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
139,4,791743.8868,2309065.442,Intake W-2 from Waikamoi Stream,W-2,9,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
140,4,786713.9979,2313813.625,Intake L-13 from Hoolawa-Nui Stream,L-13,5,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
141,4,786679.1649,2314026.899,Intake L-14 from West Hoolawa-Nui Stream,L-14,5,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
142,4,787663.1349,2313687.143,Intake L-9 from West Waipio Stream,L-9,5,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
143,4,787913.8886,2313769.516,Intake L-8 from Waipio Stream,L-8,5,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
144,4,788863.4379,2313047.988,Intake L-5 from Hanehoi Stream,L-5,5,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
145,4,779444.6414,2312667.167,Intake KH-8 from Lilikoi Stream,KH-8,4,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
146,4,788471.7837,2313272.397,Intake L-6 from Hanehoi Stream,L-6,5,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
147,4,786935.2183,2313927.909,Intake L-12 from Hoolawa-Liilii Stream,L-12,5,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
148,4,786427.5382,2311937.157,Intake NH-20 from West Hoolawa-Nui Stream,NH-20,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
149,4,788515.0667,2311320.082,Intake NH-16 from Hoalua Stream,NH-16,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
150,4,785605.4725,2312144.558,Intake NH-23 from East Honopou Stream,NH-23,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
151,4,785866.2344,2312028.36,Intake NH-22 from Honopou Stream,NH-22,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
152,4,784645.4874,2311650.214,Intake NH-28 from Halehaku Stream,NH-28,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
153,4,784595.2046,2312157.263,Intake NH-27 from Makaa Stream,NH-27,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
154,4,790183.0064,2312655.61,Intake H-1 from Kailua Stream,H-1,2,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
155,4,784741.2276,2312246.573,Intake NH-26 from Kaulu Stream,NH-26,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
156,4,785145.3425,2312106.029,Intake NH-25 from West Piiloi Stream,NH-25,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
157,4,780867.3077,2316354.703,Intake H-15 from Kaupakalua Stream,H-15,2,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
158,4,786506.4407,2312086.73,Intake NH-21 from West Hoolawa-Nui Stream,NH-21,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
159,4,789885.5366,2311086.105,Intake NH-13 from Nailiilihaele,NH-13,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
160,4,785226.2627,2312058.349,Intake NH-24 from Piiloi Stream,NH-24,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
161,4,786155.0384,2314598.812,Intake L-16 from East Honopou Stream,L-16,5,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
162,4,781460.6509,2315089.294,Intake L-25 from Kaupakulua Stream,L-25,5,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
163,4,781284.6827,2314608.309,Kaupakulua Reservoir from Opaepilau Gulch,Kaupakulua Res,10,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
164,4,790596.7244,2310329.57,Intake NH-8 from Oopuola Stream,NH-8,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
165,4,790674.0663,2310238.176,Intake NH-7 from Oopuola Stream,NH-7,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
166,4,790743.3289,2310158.138,Intake NH-6 from Oopuola Stream,NH-6,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
167,4,791043.3027,2310160.748,Intake NH-5 fr Oopuola Stream,NH-5,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
168,4,788055.1433,2311815.405,Intake NH-17 from Hanehoi Stream,NH-17,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
169,4,781702.3503,2315073.881,Intake L-24 from Manawaiiao Stream,L-24,5,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
170,4,786424.214,2314561.857,Intake L-15 from East Honopou Stream,L-15,5,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
171,4,789715.0994,2310463.958,Intake NH-12 from Nailiilihaele Stream,NH-12,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
172,4,789984.7295,2310575.996,Intake NH-11 from Nailiilihaele Stream,NH-11,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
173,4,790204.3604,2310549.77,Intake NH-10 from Nailiilihaele Stream,NH-10,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
174,4,787423.0343,2313947.911,Intake L-10 from East Mokupapa Stream,L-10,5,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
175,4,787214.597,2314021.404,Intake L-11 from West Mokupapa Stream,L-11,5,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
176,4,790473.3989,2310585.683,Intake NH-9 from Nailiilihaele Stream,NH-9,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
177,4,789079.8945,2310888.369,Intake NH-14 from Ohanui Stream,NH-14,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
178,4,788883.6246,2311349.101,Intake NH-15 from Hanauana Stream,NH-15,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
179,4,791143.9614,2310026.374,Intake NH-4 from Makanali Stream,NH-4,7,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
180,4,798942.9807,2304435.93,Intake K-14 from East Kopiliula Stream,K-14,3,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
181,4,792925.369,2306125.386,Intake S-4 from Honomanu Stream,S-4,8,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
182,4,799231.7306,2304415.409,Intake K-12 from Waiohue Stream,K-12,3,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
183,4,799133.9883,2304421.786,Intake K-13 from Waiohue Stream,K-13,3,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
184,4,799793.5099,2304155.086,Intake K-10 from Paakea Stream,K-10,3,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
185,4,799652.1089,2304225.281,Intake K-11 from Puakea Stream,K-11,3,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
186,4,800147.5122,2303930.441,Intake K-8 from Unnamed stream,K-8,3,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
187,4,799983.019,2303467.441,Intake K-6 from Kapaula Stream,K-6,3,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
188,4,800265.0181,2303727.735,Intake K-7 from Kapaula Stream,K-7,3,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
189,4,781563.1243,2312677.272,Intake KH-5 from West Kaupakulua Stream,KH-5,4,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
190,4,797981.2475,2304464.094,Intake K-16 from East Wailua-Iki Stream,K-16,3,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
191,4,798303.6454,2304491.119,Intake K-15 from West Kopiliula Stream,K-15,3,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
192,4,800783.3056,2303378.29,Intake K-2 from Hanawi Stream,K-2,3,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
193,4,800684.1704,2303454.534,Intake K-3 from Hanawi Stream,K-32,3,MajorDiversion,0.6,0.4,0.5,0.8,1,1,0.3,1,0.7,1
