WshedID,BASINID,Ditch_ID,AreaM2,CellCount,RainMeanMM,BFQ95,AB_Sum,AS_Sum,ES_Sum,LC_Sum,MG_Sum,NG_Sum,SH_Sum,SS_Sum,,AB_E,AS_E,ES_E,LC_E,MG_E,NG_E,SH_E,SS_E
36,248,,318500,3185,2359,0.23,334,407,0,499,55,470,0,313,,334,407,0,499,55,470,0,313
36,249,,218400,2184,2272,0.052,353,256,0,512,33,418,0,209,,353,256,0,512,33,418,0,209
36,250,,87100,871,2619,0.155,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
36,251,,192900,1929,2670,0.072,329,216,0,503,0,270,0,134,,329,216,0,503,0,270,0,134
36,252,,105300,1053,2636,1.667,164,151,0,258,0,197,0,102,,164,151,0,258,0,197,0,102
36,253,,1198100,11981,3331,0.014,2061,1024,0,2248,0,726,0,681,,2061,1024,0,2248,0,726,0,681
36,254,,56200,562,3947,0.04,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
36,255,,120700,1207,3905,0.027,624,18,0,262,0,2,0,5,,624,18,0,262,0,2,0,5
36,256,,90700,907,3884,0.001,95,15,0,48,0,8,0,14,,95,15,0,48,0,8,0,14
36,257,,8800,88,3872,0.018,47,7,0,24,0,2,0,7,,47,7,0,24,0,2,0,7
36,258,,62500,625,3685,0.032,243,15,0,116,0,4,0,7,,243,15,0,116,0,4,0,7
36,259,,104500,1045,3850,0.119,574,22,0,244,0,4,0,9,,574,22,0,244,0,4,0,9
36,260,,227300,2273,3792,0.005,734,72,0,436,0,13,0,30,,734,72,0,436,0,13,0,30
36,261,,33700,337,3346,0.021,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
36,262,,74900,749,3388,0.164,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
36,263,,298100,2981,3617,0.042,870,52,0,411,0,10,0,23,,870,52,0,411,0,10,0,23
36,264,,127500,1275,3926,0.372,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
36,265,,600400,6004,3458,0.404,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
36,266,,648900,6489,3958,0.455,1195,36,0,503,0,5,0,11,,1195,36,0,503,0,5,0,11
36,267,,693900,6939,4245,0.011,1198,111,0,590,0,31,0,86,,1198,111,0,590,0,31,0,86
36,268,,51200,512,3947,3.301,126,6,0,54,0,1,0,3,,126,6,0,54,0,1,0,3
36,269,,3893700,38937,4507,2.316,7876,53,0,1851,0,3,0,7,,7876,53,0,1851,0,3,0,7
36,270,,8153100,81531,3804,1.236,11534,77,0,1962,0,6,0,14,,11534,77,0,1962,0,6,0,14
37,271,,479600,4796,1902,1.754,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
38,272,,824200,8242,1987,0.363,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
38,273,,335800,3358,2270,3.021,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
39,274,,1283000,12830,2001,0.632,143,341,2,230,111,173,0,225,,143,341,2,230,111,173,0,225
39,275,,484600,4846,2240,0.469,60,91,0,106,3,50,0,45,,60,91,0,106,3,50,0,45
39,276,,550900,5509,2616,5.486,99,107,0,180,0,51,0,44,,99,107,0,180,0,51,0,44
39,277,,3061100,30611,2802,2.002,705,516,0,921,0,217,0,235,,705,516,0,921,0,217,0,235
40,278,,754600,7546,1878,0.068,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
40,279,,103600,1036,1974,0.235,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
40,280,,293900,2939,2038,1.588,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
41,281,,667200,6672,1883,5.23,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
42,282,,1823200,18232,1976,0.143,225,496,5,296,90,212,1,274,,225,496,5,296,90,212,1,274
42,283,,212200,2122,2248,0.037,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
42,284,,72300,723,2196,0.139,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
42,285,,176300,1763,2288,0.995,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
42,286,,770100,7701,2537,2.431,104,104,0,134,0,39,0,42,,104,104,0,134,0,39,0,42
43,287,,839300,8393,1875,1.059,152,535,14,189,123,180,3,345,,152,535,14,189,123,180,3,345
43,288,,596500,5965,2023,0.371,216,306,0,241,26,114,0,133,,216,306,0,241,26,114,0,133
43,289,,344000,3440,2260,0.755,26,24,0,31,0,12,0,9,,26,24,0,31,0,12,0,9
43,290,,831700,8317,2434,3.061,391,178,0,429,0,48,0,73,,391,178,0,429,0,48,0,73
43,291,,4633900,46339,3027,0.226,2085,417,0,1178,0,82,0,189,,2085,417,0,1178,0,82,0,189
43,292,,438500,4385,2673,1.282,211,48,0,128,0,6,0,26,,211,48,0,128,0,6,0,26
43,293,,1976500,19765,3378,2.197,1052,91,0,389,0,7,0,51,,1052,91,0,389,0,7,0,51
44,294,,1140500,11405,1892,0.464,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
44,295,,485500,4855,2124,3.984,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
45,296,,1164900,11649,1805,2.042,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
45,297,,1787700,17877,2079,0.829,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
45,298,,1751200,17512,2621,7.561,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
46,299,,2749100,27491,1788,1.622,295,463,30,344,93,169,20,199,,295,463,30,344,93,169,20,199
46,300,,0,0,0,0.554,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
46,301,,829000,8290,1707,0.42,75,59,0,96,0,29,0,17,,75,59,0,96,0,29,0,17
46,302,,976900,9769,1713,1.02,72,38,0,83,0,21,0,10,,72,38,0,83,0,21,0,10
46,303,,815100,8151,1796,1.419,194,88,0,258,0,28,0,24,,194,88,0,258,0,28,0,24
46,304,,1985500,19855,1830,1.105,285,54,0,195,0,6,0,19,,285,54,0,195,0,6,0,19
46,305,,1852400,18524,1856,0.032,259,148,0,338,0,71,0,40,,259,148,0,338,0,71,0,40
46,306,,1252900,12529,2030,2.118,234,108,0,315,0,35,0,29,,234,108,0,315,0,35,0,29
46,307,,143900,1439,1984,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
46,308,,4692900,46929,2277,,989,94,0,459,0,7,0,31,,989,94,0,459,0,7,0,31
